Year,ID,Enrollment_Status,BIPOC,Household_Size,,rowNum,colNum
2022,1036,Enrolled,All White,Single child,,10,950
2022,589,Enrolled,All White,Multiple children,,11,1825
2022,716,Enrolled,At least one BIPOC,Multiple children,,12,536
2022,144,Unenrolled,At least one BIPOC,Single child,,13,916
2022,265,Unenrolled,At least one BIPOC,Multiple children,,14,103
2022,836,Enrolled,At least one BIPOC,Multiple children,,15,1124
2022,450,Enrolled,All White,Single child,,16,1949
2022,492,Enrolled,At least one BIPOC,Single child,,17,888
2022,604,Enrolled,All White,Multiple children,,18,1192
2022,739,Enrolled,At least one BIPOC,Multiple children,,19,1818
2022,119,Unenrolled,All White,Single child,,20,1957
2022,367,Unenrolled,All White,Single child,,21,390
2022,129,Unenrolled,All White,Multiple children,,22,1722
2022,383,Enrolled,At least one BIPOC,Single child,,23,688
2022,414,Enrolled,All White,Multiple children,,24,82
2022,463,Enrolled,At least one BIPOC,Single child,,25,1197
2022,28,Unenrolled,At least one BIPOC,Single child,,26,1653
2022,102,Unenrolled,At least one BIPOC,Single child,,27,1975
2022,208,Unenrolled,All White,Single child,,28,513
2022,296,Unenrolled,All White,Multiple children,,29,1789
2022,365,Unenrolled,All White,Multiple children,,30,1369
2022,398,Unenrolled,All White,Multiple children,,31,1002
2022,476,Enrolled,At least one BIPOC,Single child,,32,1448
2022,532,Enrolled,At least one BIPOC,Multiple children,,33,1042
2022,649,Enrolled,At least one BIPOC,Single child,,34,768
2022,881,Enrolled,At least one BIPOC,Multiple children,,35,993
2022,922,Unenrolled,All White,Single child,,36,905
2022,952,Unenrolled,At least one BIPOC,Single child,,37,541
2022,994,Unenrolled,All White,Single child,,38,910
2022,1025,Unenrolled,All White,Multiple children,,39,1359
2022,1046,Unenrolled,At least one BIPOC,Multiple children,,40,1838
2022,99,Unenrolled,At least one BIPOC,Single child,,41,64
2022,165,Unenrolled,All White,Single child,,42,639
2022,218,Unenrolled,At least one BIPOC,Single child,,43,704
2022,454,Unenrolled,All White,Multiple children,,44,502
2022,540,Unenrolled,At least one BIPOC,Single child,,45,1822
2022,602,Unenrolled,At least one BIPOC,Multiple children,,46,110
2022,652,Unenrolled,At least one BIPOC,Multiple children,,47,984
2022,829,Unenrolled,At least one BIPOC,Single child,,48,353
2022,895,Unenrolled,At least one BIPOC,Single child,,49,1930
2022,951,Unenrolled,At least one BIPOC,Single child,,50,410
2022,1042,Unenrolled,At least one BIPOC,Single child,,51,1103
2022,1056,Unenrolled,,Single child,,52,173
2022,142,Enrolled,At least one BIPOC,Multiple children,,53,162
2022,206,Enrolled,At least one BIPOC,Multiple children,,54,1845
2022,442,Enrolled,At least one BIPOC,Multiple children,,55,557
2022,114,Enrolled,At least one BIPOC,Single child,,56,1774
2022,577,Enrolled,At least one BIPOC,Multiple children,,57,1990
2022,742,Enrolled,At least one BIPOC,Single child,,58,1962
2022,794,Enrolled,At least one BIPOC,Multiple children,,59,864
2022,975,Enrolled,All White,Multiple children,,60,86
2022,113,Unenrolled,All White,Multiple children,,61,1702
2022,164,Unenrolled,At least one BIPOC,Multiple children,,62,616
2022,348,Enrolled,All White,Multiple children,,63,1808
2022,562,Enrolled,At least one BIPOC,Multiple children,,64,1143
2022,735,Enrolled,At least one BIPOC,Multiple children,,65,1168
2022,845,Enrolled,All White,Multiple children,,66,1262
2022,926,Enrolled,All White,Single child,,67,377
2022,1306,Enrolled,At least one BIPOC,Multiple children,,68,1725
2022,1395,Enrolled,At least one BIPOC,Single child,,69,241
2022,1471,Enrolled,At least one BIPOC,Multiple children,,70,1423
2022,1617,Enrolled,At least one BIPOC,Multiple children,,71,1942
2022,1647,Enrolled,At least one BIPOC,Single child,,72,1941
2022,1895,Enrolled,At least one BIPOC,Multiple children,,73,1396
